GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
503938916,SushiGo,3,GAME_OVER,98,0,4,81,rmhc,33.0,19.0,45.0,38.0,Basic MCTS,rhea,mcts,3,rmhc,3,4,4,1,1,2,Basic MCTS,2,rhea,mcts,Basic MCTS,rmhc,mcts,rhea,3
346665430,SushiGo,3,GAME_OVER,99,0,4,82,rmhc,47.0,23.0,43.0,28.0,mcts,Basic MCTS,rhea,1,rmhc,1,4,4,2,2,3,mcts,3,Basic MCTS,rhea,mcts,rmhc,rhea,Basic MCTS,1
879079583,SushiGo,3,GAME_OVER,98,0,4,83,rmhc,37.0,20.0,38.0,39.0,mcts,Basic MCTS,rhea,3,rmhc,3,4,4,2,2,1,mcts,1,Basic MCTS,rhea,mcts,rmhc,rhea,Basic MCTS,2
-619666105,SushiGo,3,GAME_OVER,97,0,4,84,rmhc,66.0,17.0,44.0,43.0,mcts,Basic MCTS,rhea,1,rmhc,1,4,4,2,2,3,mcts,3,Basic MCTS,rhea,mcts,rmhc,rhea,Basic MCTS,1
503938916,SushiGo,3,GAME_OVER,98,0,4,85,rmhc,55.0,27.0,21.0,31.0,mcts,Basic MCTS,rhea,1,rmhc,1,3,3,4,4,2,mcts,2,Basic MCTS,rhea,mcts,rmhc,rhea,Basic MCTS,1
346665430,SushiGo,3,GAME_OVER,98,0,4,86,rmhc,41.0,25.0,39.0,32.0,mcts,rhea,Basic MCTS,1,rmhc,1,4,4,2,2,3,mcts,3,rhea,Basic MCTS,mcts,rmhc,Basic MCTS,rhea,1
879079583,SushiGo,3,GAME_OVER,100,0,4,87,rmhc,47.0,22.0,32.0,26.0,mcts,rhea,Basic MCTS,1,rmhc,1,4,4,2,2,3,mcts,3,rhea,Basic MCTS,mcts,rmhc,Basic MCTS,rhea,1
-619666105,SushiGo,3,GAME_OVER,97,0,4,88,rmhc,47.0,18.0,37.0,32.0,mcts,rhea,Basic MCTS,1,rmhc,1,4,4,2,2,3,mcts,3,rhea,Basic MCTS,mcts,rmhc,Basic MCTS,rhea,1
503938916,SushiGo,3,GAME_OVER,98,0,4,89,rmhc,40.0,19.0,37.0,46.0,mcts,rhea,Basic MCTS,2,rmhc,2,4,4,3,3,1,mcts,1,rhea,Basic MCTS,mcts,rmhc,Basic MCTS,rhea,2
346665430,SushiGo,3,GAME_OVER,99,0,4,90,rmhc,39.0,23.0,41.0,41.0,rhea,Basic MCTS,mcts,3,rmhc,3,4,4,1,1,2,rhea,2,Basic MCTS,mcts,rhea,rmhc,mcts,Basic MCTS,3
